time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 00:00:00,0.56014,0.56022,0.55917,0.55994,315,121,0
2025-01-02 01:00:00,0.56026,0.56218,0.55972,0.5621,1006,21,0
2025-01-02 02:00:00,0.56209,0.56228,0.56141,0.56222,1412,20,0
2025-01-02 03:00:00,0.56222,0.56341,0.5621,0.56271,2271,20,0
2025-01-02 04:00:00,0.56273,0.56314,0.56229,0.56314,1667,20,0
2025-01-02 05:00:00,0.56313,0.56315,0.56215,0.56221,1188,20,0
2025-01-02 06:00:00,0.5622,0.56262,0.56202,0.56223,975,20,0
2025-01-02 07:00:00,0.56223,0.56264,0.56185,0.56249,1123,20,0
2025-01-02 08:00:00,0.56249,0.56251,0.56202,0.56214,1049,19,0
2025-01-02 09:00:00,0.56218,0.56226,0.56116,0.56124,1793,18,0
2025-01-02 10:00:00,0.56124,0.56239,0.5611,0.56214,2855,19,0
2025-01-02 11:00:00,0.56214,0.56254,0.56172,0.56248,2446,17,0
2025-01-02 12:00:00,0.56248,0.56329,0.56209,0.56324,2962,18,0
2025-01-02 13:00:00,0.56324,0.56419,0.563,0.56414,2226,19,0
2025-01-02 14:00:00,0.56414,0.56425,0.56331,0.56376,2271,19,0
2025-01-02 15:00:00,0.56376,0.56471,0.56335,0.56469,3504,18,0
2025-01-02 16:00:00,0.56469,0.5652,0.56441,0.56488,4417,18,0
2025-01-02 17:00:00,0.56489,0.5657,0.56476,0.56542,5571,18,0
2025-01-02 18:00:00,0.56542,0.56657,0.56534,0.56618,6477,18,0
2025-01-02 19:00:00,0.56618,0.56679,0.56551,0.56576,4265,19,0
2025-01-02 20:00:00,0.56577,0.5658,0.56486,0.56522,3253,20,0
2025-01-02 21:00:00,0.56523,0.56598,0.56513,0.56564,2196,17,0
2025-01-02 22:00:00,0.56564,0.56631,0.56559,0.56606,1642,19,0
2025-01-02 23:00:00,0.56605,0.56611,0.56567,0.56573,869,20,0
2025-01-03 00:00:00,0.56458,0.56606,0.5644,0.56545,687,54,0
2025-01-03 01:00:00,0.56556,0.56588,0.56538,0.56546,529,22,0
2025-01-03 02:00:00,0.56546,0.56659,0.56542,0.56656,1096,21,0
2025-01-03 03:00:00,0.56657,0.56675,0.56582,0.56613,1437,21,0
2025-01-03 04:00:00,0.56613,0.56641,0.56576,0.56593,1406,21,0
2025-01-03 05:00:00,0.56595,0.56644,0.56586,0.56644,1062,20,0
2025-01-03 06:00:00,0.56644,0.56679,0.5664,0.56666,986,21,0
2025-01-03 07:00:00,0.56666,0.56696,0.5664,0.56647,1419,20,0
2025-01-03 08:00:00,0.56647,0.56679,0.5662,0.56624,1135,21,0
2025-01-03 09:00:00,0.56623,0.56629,0.56491,0.5653,3146,19,0
2025-01-03 10:00:00,0.56529,0.56565,0.56484,0.56508,2646,20,0
2025-01-03 11:00:00,0.56509,0.56543,0.56461,0.56479,2571,17,0
2025-01-03 12:00:00,0.56479,0.56542,0.56469,0.56542,1760,20,0
2025-01-03 13:00:00,0.56542,0.5657,0.56517,0.56565,1628,20,0
2025-01-03 14:00:00,0.56566,0.56571,0.5652,0.56542,1730,18,0
2025-01-03 15:00:00,0.56542,0.56557,0.56496,0.56522,2256,19,0
2025-01-03 16:00:00,0.56522,0.56554,0.56444,0.56466,3072,19,0
2025-01-03 17:00:00,0.56468,0.56503,0.56388,0.56498,5196,19,0
