time,open,high,low,close,tick_volume,spread,real_volume
2025-12-01 11:15:00,205.502,205.592,205.459,205.462,1556,6,0
2025-12-01 11:30:00,205.462,205.535,205.425,205.509,1965,8,0
2025-12-01 11:45:00,205.51,205.538,205.395,205.486,2212,6,0
2025-12-01 12:00:00,205.48,205.488,205.32,205.391,1775,7,0
2025-12-01 12:15:00,205.39,205.396,205.235,205.26,1250,8,0
2025-12-01 12:30:00,205.261,205.336,205.255,205.303,1411,6,0
2025-12-01 12:45:00,205.303,205.385,205.256,205.37,1135,8,0
2025-12-01 13:00:00,205.37,205.398,205.305,205.373,1033,9,0
2025-12-01 13:15:00,205.374,205.469,205.316,205.337,1023,3,0
2025-12-01 13:30:00,205.337,205.402,205.297,205.323,1035,7,0
2025-12-01 13:45:00,205.323,205.328,205.205,205.261,2173,5,0
2025-12-01 14:00:00,205.261,205.372,205.242,205.347,2075,7,0
2025-12-01 14:15:00,205.347,205.435,205.305,205.31,1938,6,0
2025-12-01 14:30:00,205.31,205.419,205.295,205.349,1733,7,0
2025-12-01 14:45:00,205.348,205.43,205.322,205.36,2194,7,0
2025-12-01 15:00:00,205.359,205.405,205.301,205.374,2834,4,0
2025-12-01 15:15:00,205.371,205.38,205.267,205.272,1731,2,0
2025-12-01 15:30:00,205.27,205.384,205.256,205.284,2447,7,0
2025-12-01 15:45:00,205.284,205.463,205.282,205.408,1941,6,0
2025-12-01 16:00:00,205.408,205.498,205.307,205.405,2151,5,0
2025-12-01 16:15:00,205.405,205.417,205.301,205.372,1933,5,0
2025-12-01 16:30:00,205.374,205.447,205.194,205.326,3088,2,0
2025-12-01 16:45:00,205.326,205.44,205.264,205.306,2873,3,0
2025-12-01 17:00:00,205.293,205.568,205.202,205.506,3148,5,0
2025-12-01 17:15:00,205.51,205.534,205.413,205.417,2496,5,0
2025-12-01 17:30:00,205.417,205.434,205.3,205.375,2107,8,0
2025-12-01 17:45:00,205.375,205.557,205.33,205.529,2555,2,0
2025-12-01 18:00:00,205.533,205.626,205.374,205.383,2618,5,0
2025-12-01 18:15:00,205.379,205.425,205.318,205.338,3011,3,0
2025-12-01 18:30:00,205.338,205.499,205.338,205.465,2535,5,0
2025-12-01 18:45:00,205.465,205.481,205.376,205.394,1412,8,0
2025-12-01 19:00:00,205.394,205.49,205.389,205.431,1411,5,0
2025-12-01 19:15:00,205.431,205.46,205.387,205.442,1525,6,0
2025-12-01 19:30:00,205.442,205.486,205.407,205.467,1190,6,0
2025-12-01 19:45:00,205.467,205.506,205.415,205.44,1434,4,0
2025-12-01 20:00:00,205.438,205.525,205.42,205.476,1576,6,0
2025-12-01 20:15:00,205.476,205.477,205.371,205.403,898,6,0
2025-12-01 20:30:00,205.404,205.477,205.399,205.464,966,9,0
2025-12-01 20:45:00,205.466,205.509,205.457,205.485,1181,5,0
2025-12-01 21:00:00,205.485,205.488,205.422,205.441,1121,9,0
2025-12-01 21:15:00,205.441,205.455,205.397,205.413,966,2,0
2025-12-01 21:30:00,205.413,205.423,205.372,205.379,1380,8,0
2025-12-01 21:45:00,205.379,205.482,205.379,205.425,1306,8,0
2025-12-01 22:00:00,205.425,205.432,205.382,205.403,1461,3,0
2025-12-01 22:15:00,205.398,205.428,205.376,205.423,705,8,0
2025-12-01 22:30:00,205.422,205.47,205.409,205.435,853,10,0
2025-12-01 22:45:00,205.435,205.463,205.371,205.392,779,8,0
2025-12-01 23:00:00,205.392,205.415,205.362,205.365,489,7,0
2025-12-01 23:15:00,205.365,205.435,205.339,205.412,451,7,0
2025-12-01 23:30:00,205.418,205.459,205.409,205.458,753,7,0
2025-12-01 23:45:00,205.458,205.469,205.366,205.417,775,12,0
2025-12-02 00:00:00,205.417,205.434,205.335,205.335,39,138,0
2025-12-02 00:15:00,205.336,205.363,205.325,205.361,59,103,0
2025-12-02 00:30:00,205.357,205.389,205.35,205.359,240,62,0
2025-12-02 00:45:00,205.358,205.367,205.294,205.319,453,57,0
2025-12-02 01:00:00,205.319,205.395,205.319,205.38,280,17,0
2025-12-02 01:15:00,205.38,205.433,205.366,205.394,245,15,0
2025-12-02 01:30:00,205.394,205.453,205.384,205.445,288,11,0
2025-12-02 01:45:00,205.447,205.496,205.439,205.473,439,13,0
2025-12-02 02:00:00,205.472,205.475,205.379,205.43,919,10,0
2025-12-02 02:15:00,205.43,205.592,205.43,205.507,714,8,0
2025-12-02 02:30:00,205.507,205.542,205.447,205.535,818,11,0
2025-12-02 02:45:00,205.535,205.601,205.496,205.541,1468,6,0
2025-12-02 03:00:00,205.541,205.697,205.541,205.669,1605,6,0
2025-12-02 03:15:00,205.669,205.671,205.548,205.572,945,6,0
2025-12-02 03:30:00,205.573,205.632,205.544,205.598,1050,10,0
2025-12-02 03:45:00,205.598,205.631,205.584,205.616,696,11,0
2025-12-02 04:00:00,205.616,205.619,205.547,205.562,593,7,0
2025-12-02 04:15:00,205.562,205.653,205.56,205.639,474,12,0
2025-12-02 04:30:00,205.638,205.739,205.625,205.738,559,9,0
2025-12-02 04:45:00,205.738,205.773,205.707,205.715,541,11,0
2025-12-02 05:00:00,205.714,205.76,205.695,205.708,536,9,0
2025-12-02 05:15:00,205.708,205.714,205.622,205.629,607,13,0
2025-12-02 05:30:00,205.625,205.666,205.603,205.655,810,10,0
2025-12-02 05:45:00,205.65,205.705,205.596,205.693,743,10,0
2025-12-02 06:00:00,205.693,205.724,205.648,205.683,512,11,0
2025-12-02 06:15:00,205.683,205.748,205.665,205.732,422,10,0
2025-12-02 06:30:00,205.732,205.769,205.707,205.708,373,12,0
2025-12-02 06:45:00,205.708,205.719,205.667,205.69,515,10,0
2025-12-02 07:00:00,205.689,205.761,205.681,205.742,634,11,0
2025-12-02 07:15:00,205.742,205.759,205.694,205.702,598,15,0
2025-12-02 07:30:00,205.702,205.726,205.663,205.671,459,11,0
2025-12-02 07:45:00,205.673,205.739,205.671,205.68,733,9,0
2025-12-02 08:00:00,205.68,205.782,205.673,205.749,739,9,0
2025-12-02 08:15:00,205.749,205.793,205.709,205.778,1071,8,0
2025-12-02 08:30:00,205.778,205.817,205.742,205.792,810,9,0
2025-12-02 08:45:00,205.792,205.866,205.768,205.799,994,6,0
2025-12-02 09:00:00,205.794,205.947,205.788,205.942,1306,6,0
2025-12-02 09:15:00,205.942,205.951,205.846,205.862,761,10,0
2025-12-02 09:30:00,205.862,205.904,205.782,205.796,1083,7,0
2025-12-02 09:45:00,205.796,205.859,205.717,205.843,1199,5,0
2025-12-02 10:00:00,205.845,205.92,205.79,205.859,1389,4,0
2025-12-02 10:15:00,205.859,206.092,205.824,206.089,1502,4,0
2025-12-02 10:30:00,206.091,206.125,206.021,206.066,1225,7,0
2025-12-02 10:45:00,206.064,206.105,206.02,206.094,1403,6,0
2025-12-02 11:00:00,206.094,206.231,206.041,206.225,1446,6,0
2025-12-02 11:15:00,206.227,206.254,206.125,206.216,1004,5,0
2025-12-02 11:30:00,206.218,206.24,206.046,206.086,1152,8,0
2025-12-02 11:45:00,206.086,206.145,205.987,206.036,1437,9,0
2025-12-02 12:00:00,206.028,206.039,205.738,205.825,1477,7,0
2025-12-02 12:15:00,205.825,205.83,205.678,205.727,1946,7,0
2025-12-02 12:30:00,205.727,205.822,205.727,205.795,914,8,0
2025-12-02 12:45:00,205.794,205.899,205.76,205.896,1145,6,0
2025-12-02 13:00:00,205.896,205.901,205.822,205.829,996,5,0
2025-12-02 13:15:00,205.829,205.885,205.79,205.879,785,6,0
2025-12-02 13:30:00,205.881,205.887,205.723,205.823,1031,7,0
2025-12-02 13:45:00,205.824,205.869,205.768,205.795,878,7,0
2025-12-02 14:00:00,205.791,205.861,205.756,205.835,1180,6,0
2025-12-02 14:15:00,205.835,205.999,205.821,205.984,1403,4,0
2025-12-02 14:30:00,205.984,206.015,205.925,205.968,1222,8,0
2025-12-02 14:45:00,205.968,206.096,205.946,206.071,1148,6,0
2025-12-02 15:00:00,206.072,206.116,206.02,206.04,1451,7,0
2025-12-02 15:15:00,206.049,206.082,205.967,205.971,1655,7,0
2025-12-02 15:30:00,205.969,206.02,205.933,205.964,1193,6,0
2025-12-02 15:45:00,205.964,206.006,205.924,205.984,1989,6,0
2025-12-02 16:00:00,205.986,206.133,205.962,206.123,2611,4,0
2025-12-02 16:15:00,206.123,206.176,206.095,206.099,1295,8,0
2025-12-02 16:30:00,206.1,206.141,205.951,205.978,1961,8,0
2025-12-02 16:45:00,205.978,206.061,205.95,206.022,2391,4,0
2025-12-02 17:00:00,206.022,206.195,206.013,206.136,2671,4,0
2025-12-02 17:15:00,206.136,206.163,205.803,205.814,2742,5,0
2025-12-02 17:30:00,205.813,205.99,205.787,205.976,2311,6,0
2025-12-02 17:45:00,205.976,206.024,205.76,205.761,3239,6,0
2025-12-02 18:00:00,205.761,205.862,205.602,205.621,2252,5,0
2025-12-02 18:15:00,205.62,205.653,205.475,205.534,2013,6,0
2025-12-02 18:30:00,205.534,205.589,205.485,205.552,1580,3,0
2025-12-02 18:45:00,205.552,205.677,205.55,205.553,1729,5,0
2025-12-02 19:00:00,205.553,205.709,205.542,205.696,1787,7,0
2025-12-02 19:15:00,205.696,205.871,205.685,205.815,1588,7,0
2025-12-02 19:30:00,205.815,205.838,205.728,205.73,1577,5,0
2025-12-02 19:45:00,205.73,205.781,205.701,205.749,1184,6,0
2025-12-02 20:00:00,205.749,205.849,205.68,205.816,1325,8,0
2025-12-02 20:15:00,205.816,205.847,205.786,205.824,699,8,0
2025-12-02 20:30:00,205.822,205.853,205.752,205.784,848,10,0
2025-12-02 20:45:00,205.784,205.896,205.758,205.87,1165,6,0
2025-12-02 21:00:00,205.87,205.929,205.863,205.879,1075,3,0
2025-12-02 21:15:00,205.879,205.898,205.827,205.845,909,7,0
2025-12-02 21:30:00,205.845,205.874,205.809,205.845,688,6,0
2025-12-02 21:45:00,205.845,205.943,205.844,205.929,1450,4,0
2025-12-02 22:00:00,205.929,205.939,205.866,205.888,1385,6,0
2025-12-02 22:15:00,205.889,205.901,205.867,205.88,895,10,0
2025-12-02 22:30:00,205.879,205.9,205.849,205.854,1702,8,0
2025-12-02 22:45:00,205.854,205.894,205.824,205.875,1543,7,0
2025-12-02 23:00:00,205.875,205.901,205.853,205.876,699,8,0
2025-12-02 23:15:00,205.876,205.885,205.838,205.857,597,8,0
2025-12-02 23:30:00,205.857,205.959,205.856,205.941,776,6,0
2025-12-02 23:45:00,205.942,205.999,205.899,205.908,717,11,0
2025-12-03 00:00:00,205.737,205.737,205.642,205.642,6,315,0
2025-12-03 00:15:00,205.64,205.776,205.573,205.715,157,168,0
2025-12-03 00:30:00,205.715,205.934,205.714,205.914,205,55,0
2025-12-03 00:45:00,205.911,205.921,205.744,205.798,350,80,0
2025-12-03 01:00:00,205.784,205.991,205.784,205.938,325,14,0
2025-12-03 01:15:00,205.94,205.977,205.931,205.951,335,16,0
2025-12-03 01:30:00,205.951,205.989,205.914,205.981,387,8,0
2025-12-03 01:45:00,205.981,206.004,205.909,205.909,513,14,0
2025-12-03 02:00:00,205.909,205.941,205.806,205.878,1046,10,0
2025-12-03 02:15:00,205.878,205.879,205.792,205.831,619,12,0
2025-12-03 02:30:00,205.831,205.951,205.781,205.949,1403,8,0
2025-12-03 02:45:00,205.951,205.996,205.901,205.959,1271,8,0
2025-12-03 03:00:00,205.959,206.006,205.852,205.853,1061,10,0
2025-12-03 03:15:00,205.853,205.878,205.795,205.835,831,12,0
2025-12-03 03:30:00,205.835,205.904,205.814,205.816,878,11,0
2025-12-03 03:45:00,205.816,205.899,205.805,205.878,1033,11,0
2025-12-03 04:00:00,205.878,205.994,205.87,205.986,815,8,0
2025-12-03 04:15:00,205.986,206.051,205.975,206.034,985,7,0
2025-12-03 04:30:00,206.033,206.066,206.001,206.05,685,8,0
2025-12-03 04:45:00,206.051,206.06,205.977,205.995,675,9,0
2025-12-03 05:00:00,205.995,206.018,205.968,205.994,611,13,0
2025-12-03 05:15:00,205.994,206.019,205.969,205.993,619,13,0
2025-12-03 05:30:00,205.993,206.028,205.97,205.973,652,13,0
2025-12-03 05:45:00,205.972,205.986,205.885,205.912,633,12,0
2025-12-03 06:00:00,205.912,206.009,205.909,205.99,652,13,0
2025-12-03 06:15:00,205.99,206.021,205.976,205.989,493,9,0
