time,open,high,low,close,tick_volume,spread,real_volume
2025-12-01 12:00:00,126.7756,127.3185,126.6966,127.0105,2226,4629,0
2025-12-01 13:00:00,127.0105,127.1275,126.6215,126.8575,2823,4633,0
2025-12-01 14:00:00,126.8575,126.9275,125.2015,126.3306,7424,4339,0
2025-12-01 15:00:00,126.3306,127.4625,125.8606,126.2196,8702,4350,0
2025-12-01 16:00:00,126.2196,126.8256,125.2707,125.8606,11804,4539,0
2025-12-01 17:00:00,125.8536,126.0636,122.8578,124.8517,17093,4332,0
2025-12-01 18:00:00,124.8517,125.1007,123.1175,123.2615,11418,4337,0
2025-12-01 19:00:00,123.2655,124.7397,123.2655,124.2097,8090,4337,0
2025-12-01 20:00:00,124.2097,125.0775,123.4918,124.2637,6598,4337,0
2025-12-01 21:00:00,124.2637,124.3407,123.0208,123.6088,6552,4367,0
2025-12-01 22:00:00,123.6088,125.1127,123.5715,124.1977,7870,4338,0
2025-12-01 23:00:00,124.2067,126.0298,123.9735,125.8496,7033,4338,0
2025-12-02 00:00:00,125.8496,127.1855,125.6506,126.5916,4433,4340,0
2025-12-02 01:00:00,126.5916,127.1685,126.3116,126.4126,3708,4339,0
2025-12-02 02:00:00,126.4126,127.3255,126.2196,127.1325,5295,4339,0
2025-12-02 03:00:00,127.1325,128.2875,126.5595,126.7686,8082,4360,0
2025-12-02 04:00:00,126.7686,127.8885,126.3535,126.7256,6155,4350,0
2025-12-02 05:00:00,126.7256,127.4295,125.7816,126.9945,4463,4339,0
2025-12-02 06:00:00,126.9945,127.6095,126.6275,126.6475,4166,4379,0
2025-12-02 07:00:00,126.6475,126.8515,126.2276,126.4595,3333,4339,0
2025-12-02 08:00:00,126.4595,127.6175,126.1855,127.4375,3198,4339,0
2025-12-02 09:00:00,127.4375,127.4545,126.7506,127.0195,2733,4340,0
2025-12-02 10:00:00,127.0195,127.0815,125.7626,125.9416,4229,4339,0
2025-12-02 11:00:00,125.9416,126.9585,125.8806,126.5296,3907,4339,0
2025-12-02 12:00:00,126.5296,128.6114,126.4666,128.0615,3927,4339,0
2025-12-02 13:00:00,128.0595,128.2765,127.5795,128.0615,4205,4340,0
2025-12-02 14:00:00,128.0615,128.7734,127.9335,128.6284,4107,4340,0
2025-12-02 15:00:00,128.6284,130.7863,128.1895,130.3613,7361,4332,0
2025-12-02 16:00:00,130.3613,133.2161,130.1413,132.7321,13607,4332,0
2025-12-02 17:00:00,132.7381,140.1676,132.7011,137.6138,17322,4331,0
2025-12-02 18:00:00,137.6138,139.4535,137.0835,139.0935,9970,4337,0
2025-12-02 19:00:00,139.0935,140.6435,138.9835,139.2235,6113,4368,0
2025-12-02 20:00:00,139.2235,140.0535,139.1335,139.5835,3868,4358,0
2025-12-02 21:00:00,139.5835,140.4135,139.5135,139.9935,3036,4390,0
2025-12-02 22:00:00,139.9935,140.1435,137.9635,138.4735,5433,4338,0
2025-12-02 23:00:00,138.4935,139.0535,138.1535,138.7227,3297,4378,0
2025-12-03 00:00:00,138.7227,139.7335,138.6335,139.6735,2956,4338,0
2025-12-03 01:00:00,139.6735,139.6835,138.1735,138.4235,3276,4368,0
2025-12-03 02:00:00,138.4235,138.7235,137.5035,137.9035,3432,4347,0
2025-12-03 03:00:00,137.9035,138.9955,137.6335,138.6255,3656,4490,0
2025-12-03 04:00:00,138.6255,140.0635,138.5555,139.7835,4327,4588,0
2025-12-03 05:00:00,139.7835,140.3935,139.5435,140.0835,2739,4450,0
2025-12-03 06:00:00,140.0835,142.2635,139.9235,142.0535,3691,4330,0
2025-12-03 07:00:00,142.0535,143.0135,141.9435,142.8614,5667,4340,0
2025-12-03 08:00:00,142.8614,144.0364,142.1555,142.2435,6940,4345,0
2025-12-03 09:00:00,142.2435,142.3615,141.6155,141.6805,4724,4363,0
2025-12-03 10:00:00,141.6805,142.4715,141.2775,141.9295,4141,4340,0
2025-12-03 11:00:00,141.9295,142.2555,141.3435,141.8945,4501,4341,0
2025-12-03 12:00:00,141.8945,142.0795,140.9826,141.0886,3804,4540,0
2025-12-03 13:00:00,141.0886,141.5505,140.5355,141.5135,3583,4530,0
2025-12-03 14:00:00,141.5135,141.8835,140.8656,141.7175,4510,4370,0
2025-12-03 15:00:00,141.7175,142.2695,141.2895,141.6785,5179,4354,0
2025-12-03 16:00:00,141.6785,143.3204,138.5617,140.7086,23922,4331,0
2025-12-03 17:00:00,140.7186,141.8865,139.9376,140.7746,15096,4339,0
2025-12-03 18:00:00,140.7746,141.6065,139.6657,140.4966,8978,4339,0
2025-12-03 19:00:00,140.4966,141.8985,140.2446,141.6045,7936,4339,0
2025-12-03 20:00:00,141.6045,142.1475,140.4486,140.9696,6562,4330,0
2025-12-03 21:00:00,140.9696,141.3925,140.8136,141.0736,4093,4340,0
2025-12-03 22:00:00,141.0736,142.0255,140.5096,141.4895,5486,4360,0
2025-12-03 23:00:00,141.4895,145.8622,141.3925,145.2695,6841,4330,0
2025-12-04 00:00:00,145.2715,145.7132,142.9235,144.3373,11094,4331,0
2025-12-04 01:00:00,144.3433,145.4103,144.2583,144.4663,6774,4342,0
2025-12-04 02:00:00,144.4663,145.1893,143.4424,144.8163,7028,4331,0
2025-12-04 03:00:00,144.8163,146.7132,143.9274,143.9844,8595,4332,0
2025-12-04 04:00:00,143.9844,145.9002,143.7824,145.3823,6688,4342,0
2025-12-04 05:00:00,145.3823,145.4263,144.0893,144.4503,5339,4332,0
2025-12-04 06:00:00,144.4503,144.7013,143.5234,143.9524,3863,4351,0
2025-12-04 07:00:00,143.9524,144.0244,142.7284,143.0344,4032,4331,0
2025-12-04 08:00:00,143.0344,144.0773,142.8644,143.7374,4181,4331,0
2025-12-04 09:00:00,143.7374,143.8034,142.4285,143.2794,3592,4331,0
2025-12-04 10:00:00,143.2794,143.8364,142.5175,142.6764,4026,4331,0
2025-12-04 11:00:00,142.6764,143.9814,142.6614,143.6924,4396,4331,0
2025-12-04 12:00:00,143.6924,143.9794,143.0754,143.1204,3932,4331,0
2025-12-04 13:00:00,143.1204,143.2894,142.4785,142.8474,4116,4330,0
2025-12-04 14:00:00,142.8474,143.2984,142.1685,142.6774,3929,4331,0
2025-12-04 15:00:00,142.6774,142.9614,141.5735,142.0115,6918,4340,0
2025-12-04 16:00:00,142.0115,143.1494,141.2135,141.5955,12198,4331,0
2025-12-04 17:00:00,141.5955,144.0484,141.5525,142.9824,13480,4331,0
2025-12-04 18:00:00,142.9824,143.6384,142.0305,142.4005,9978,4340,0
2025-12-04 19:00:00,142.4005,142.6005,140.9066,141.9535,8226,4340,0
2025-12-04 20:00:00,141.9535,142.0335,140.1296,140.5556,7744,4339,0
2025-12-04 21:00:00,140.5556,140.6346,137.5988,139.4717,14044,4337,0
2025-12-04 22:00:00,139.4717,140.3066,138.9807,140.2266,8962,4338,0
2025-12-04 23:00:00,140.2266,140.2446,138.3537,138.5247,5209,4330,0
2025-12-05 00:00:00,138.5247,139.5917,138.5247,139.2027,2981,4338,0
2025-12-05 01:00:00,139.2027,139.2557,138.4967,138.8217,3261,4338,0
2025-12-05 02:00:00,138.8217,139.5537,138.7097,139.0547,3424,4338,0
2025-12-05 03:00:00,139.0547,139.9816,138.9537,139.6247,3519,4338,0
2025-12-05 04:00:00,139.6247,139.9676,139.0457,139.6207,3585,4338,0
2025-12-05 05:00:00,139.6207,139.9876,138.0875,138.3537,3316,4331,0
2025-12-05 06:00:00,138.3537,138.9467,137.8718,138.3258,4293,4337,0
2025-12-05 07:00:00,138.3258,138.5527,137.6115,137.8428,2909,4367,0
2025-12-05 08:00:00,137.8428,138.7947,137.8238,138.6747,2788,4337,0
2025-12-05 09:00:00,138.6747,140.5506,138.5655,139.4727,3687,4332,0
2025-12-05 10:00:00,139.4727,139.4727,137.5858,137.9698,3918,4337,0
2025-12-05 11:00:00,137.9698,138.0508,136.0839,136.1429,7869,4336,0
2025-12-05 12:00:00,136.1429,137.7988,135.9269,137.5288,4415,4336,0
2025-12-05 13:00:00,137.5288,137.8998,136.6749,136.8069,4040,4337,0
2025-12-05 14:00:00,136.8069,136.9109,136.0755,136.4509,3660,4336,0
2025-12-05 15:00:00,136.4509,136.8449,135.5509,135.7449,8020,4336,0
2025-12-05 16:00:00,135.7449,136.1089,134.174,134.535,12002,4335,0
2025-12-05 17:00:00,134.535,136.8835,134.496,135.6455,8436,4335,0
2025-12-05 18:00:00,135.6455,135.6455,130.9415,132.0022,16209,4332,0
2025-12-05 19:00:00,131.9932,132.5552,130.8915,131.9622,11823,4333,0
2025-12-05 20:00:00,131.9622,132.8481,130.9713,131.1543,9456,4332,0
2025-12-05 21:00:00,131.1543,132.7501,130.5935,132.2892,7804,4333,0
2025-12-05 22:00:00,132.2892,132.6981,131.7542,132.3072,5364,4343,0
2025-12-05 23:00:00,132.3072,132.9331,131.7702,132.1812,3420,4333,0
2025-12-06 00:00:00,132.1952,132.6601,131.9122,132.5072,2160,4343,0
2025-12-06 01:00:00,132.5072,133.1861,132.0552,133.0971,2323,4333,0
2025-12-06 02:00:00,133.0971,133.4981,132.6162,133.2591,2597,4334,0
