id,type,size,TP,SL,S_on_placement,R_on_placement,RR,pnl,open_candle,close_candle,open_equity,close_equity,entry_order_price,entry_execution_price,entry_slippage,tp_order_price,tp_execution_price,tp_slippage,sl_order_price,sl_execution_price,sl_slippage,total_slippage,close_execution_price,close_slippage
,,9521,,,,,,,1,,,,,,,,,,,,,,,
,,4120,,,,,,,12,,,,,,,,,,,,,,,
,,9505,,,,,,,28,,,,,,,,,,,,,,,
,,3140,,,,,,,57,,,,,,,,,,,,,,,
,,8869,,,,,,,,,,,,,,,,,,,,,,
,,8869,,,,,,,,,,,,,,,,,,,,,,
,,8160,,,,,,,80,,,,,,,,,,,,,,,
,,8155,,,,,,,85,,,,,,,,,,,,,,,
,,6517,,,,,,,,,,,,,,,,,,,,,,
,,9009,,,,,,,106,,,,,,,,,,,,,,,
,,3017,,,,,,,,,,,,,,,,,,,,,,
,,5915,,,,,,,149,,,,,,,,,,,,,,,
,,7735,,,,,,,149,,,,,,,,,,,,,,,
,,4420,,,,,,,165,,,,,,,,,,,,,,,
,,6285,,,,,,,181,,,,,,,,,,,,,,,
,,6848,,,,,,,,,,,,,,,,,,,,,,
,,5736,,,,,,,,,,,,,,,,,,,,,,
,,3025,,,,,,,,,,,,,,,,,,,,,,
,,8413,,,,,,,,,,,,,,,,,,,,,,
,,4625,,,,,,,251,,,,,,,,,,,,,,,
,,6207,,,,,,,254,,,,,,,,,,,,,,,
,,4672,,,,,,,,,,,,,,,,,,,,,,
,,6054,,,,,,,,,,,,,,,,,,,,,,
# RR: 2.0
# Win Ratio: 0.00%
# TPs: 0
# SLs: 0
# Total Trades: 0
